dt,E2-TH-1-D-01-TEMP,E2-TH-1-D-02-TEMP,E2-TH-1-D-03-TEMP
2026-02-15 06:45:02.001000+07:00,29.1,29.9,
2026-02-15 06:50:01.001000+07:00,29.2,29.7,
2026-02-15 06:55:01.001000+07:00,29.2,29.6,
2026-02-15 07:00:01.001000+07:00,28.9,30.0,
2026-02-15 07:05:01.001000+07:00,29.1,29.8,
2026-02-15 07:10:01.001000+07:00,29.2,29.6,
2026-02-15 07:15:01.001000+07:00,29.2,30.0,
2026-02-15 07:20:01.001000+07:00,29.1,29.8,
2026-02-15 07:25:02.001000+07:00,29.1,30.0,
2026-02-15 07:30:01.001000+07:00,28.9,30.0,
2026-02-15 07:35:01.001000+07:00,29.0,30.0,
2026-02-15 07:40:01.001000+07:00,29.1,29.7,
2026-02-15 07:45:01.001000+07:00,29.1,30.0,
2026-02-15 07:50:01.001000+07:00,29.1,29.9,
2026-02-15 07:55:01.001000+07:00,29.0,29.9,
2026-02-15 08:00:02.001000+07:00,29.0,30.0,
2026-02-15 08:05:01.001000+07:00,29.3,29.8,
2026-02-15 08:10:01.001000+07:00,29.1,30.0,
2026-02-15 08:15:02.001000+07:00,28.9,29.7,
2026-02-15 08:20:01.001000+07:00,28.9,30.0,
2026-02-15 08:25:01.001000+07:00,29.1,29.9,
2026-02-15 08:30:01.001000+07:00,29.2,30.0,
2026-02-15 08:35:01.001000+07:00,29.0,29.8,
2026-02-15 08:40:01.001000+07:00,29.2,29.6,
2026-02-15 08:45:01.001000+07:00,29.0,30.0,
2026-02-15 08:50:01.001000+07:00,28.9,29.7,
2026-02-15 08:55:01.001000+07:00,29.1,29.9,
2026-02-15 09:00:01.001000+07:00,29.1,30.0,
2026-02-15 09:05:01.001000+07:00,29.2,29.6,
2026-02-15 09:10:01.001000+07:00,28.9,29.6,
2026-02-15 09:15:01.001000+07:00,29.1,29.8,
2026-02-15 09:20:01.001000+07:00,29.1,29.6,
2026-02-15 09:25:01.001000+07:00,28.9,29.5,
2026-02-15 09:30:01.001000+07:00,28.9,29.6,
2026-02-15 09:35:01.001000+07:00,28.9,30.0,
2026-02-15 09:40:01.001000+07:00,28.9,29.9,
2026-02-15 09:45:01.001000+07:00,28.9,29.7,
2026-02-15 09:50:01.001000+07:00,29.3,30.0,
2026-02-15 09:55:01.001000+07:00,29.2,29.8,
2026-02-15 10:00:02.001000+07:00,29.3,30.0,
2026-02-15 10:05:01.001000+07:00,29.3,30.0,
2026-02-15 10:10:01.001000+07:00,29.1,29.8,
2026-02-15 10:15:01.001000+07:00,29.3,29.8,
2026-02-15 10:20:01.001000+07:00,29.3,30.0,
2026-02-15 10:25:01.001000+07:00,29.1,29.9,
2026-02-15 10:30:01.001000+07:00,29.1,30.2,
2026-02-15 10:35:01.001000+07:00,29.5,29.9,
2026-02-15 10:40:01.001000+07:00,29.5,29.9,
2026-02-15 10:45:01.001000+07:00,29.4,30.2,
2026-02-15 10:50:01.001000+07:00,29.2,30.2,
2026-02-15 10:55:01.001000+07:00,29.2,29.9,
2026-02-15 11:00:01.001000+07:00,29.4,30.2,
2026-02-15 11:05:01.001000+07:00,29.5,30.0,
2026-02-15 11:10:01.001000+07:00,29.4,30.0,
2026-02-15 11:15:01.001000+07:00,29.4,30.1,
2026-02-15 11:20:01.001000+07:00,29.2,30.2,
2026-02-15 11:25:01.001000+07:00,29.5,30.0,
2026-02-15 11:30:01.001000+07:00,29.5,29.8,
2026-02-15 11:35:01.001000+07:00,29.5,29.9,
2026-02-15 11:40:01.001000+07:00,29.6,30.0,
2026-02-15 11:45:01.001000+07:00,29.3,30.2,
2026-02-15 11:50:01.001000+07:00,29.5,29.9,
2026-02-15 11:55:01.001000+07:00,29.3,29.9,
2026-02-15 12:00:02.001000+07:00,29.6,30.0,
2026-02-15 12:05:01.001000+07:00,29.5,30.3,
2026-02-15 12:10:01.001000+07:00,29.6,30.1,
2026-02-15 12:15:02.001000+07:00,29.3,30.2,
2026-02-15 12:20:01.001000+07:00,29.2,30.2,
2026-02-15 12:25:01.001000+07:00,29.3,30.0,
2026-02-15 12:30:01.001000+07:00,29.4,29.8,
2026-02-15 12:35:01.001000+07:00,29.5,30.3,
2026-02-15 12:40:01.001000+07:00,29.3,29.8,
2026-02-15 12:45:01.001000+07:00,29.1,29.9,
2026-02-15 12:50:01.001000+07:00,29.2,30.2,
2026-02-15 12:55:01.001000+07:00,29.5,29.8,
2026-02-15 13:00:01.001000+07:00,29.1,30.0,
2026-02-15 13:05:01.001000+07:00,29.2,30.2,
2026-02-15 13:10:02.001000+07:00,29.1,30.0,
2026-02-15 13:15:01.001000+07:00,29.5,30.3,
2026-02-15 13:20:01.001000+07:00,29.2,30.2,
2026-02-15 13:25:01.001000+07:00,29.1,29.9,
2026-02-15 13:30:01.001000+07:00,29.1,30.3,
2026-02-15 13:35:01.001000+07:00,29.5,30.0,
2026-02-15 13:40:02.001000+07:00,29.5,30.1,
2026-02-15 13:45:01.001000+07:00,29.4,30.3,
2026-02-15 13:50:01.001000+07:00,29.3,30.0,
2026-02-15 13:55:01.001000+07:00,29.2,30.2,
2026-02-15 14:00:02.001000+07:00,29.2,30.2,
2026-02-15 14:05:01.001000+07:00,29.3,30.3,
2026-02-15 14:10:01.001000+07:00,29.5,29.9,
2026-02-15 14:15:01.001000+07:00,29.3,30.3,
2026-02-15 14:20:01.001000+07:00,29.3,30.3,
2026-02-15 14:25:01.001000+07:00,29.3,30.2,
2026-02-15 14:30:01.001000+07:00,29.3,30.3,
2026-02-15 14:35:01.001000+07:00,29.3,30.2,
2026-02-15 14:40:01.001000+07:00,29.5,30.1,
2026-02-15 14:45:01.001000+07:00,29.6,30.1,
2026-02-15 14:50:01.001000+07:00,29.5,30.3,
2026-02-15 14:55:01.001000+07:00,29.3,30.1,
2026-02-15 15:00:01.001000+07:00,29.3,30.3,
2026-02-15 15:05:01.001000+07:00,29.5,30.2,
2026-02-15 15:10:01.001000+07:00,29.5,30.2,
2026-02-15 15:15:01.001000+07:00,29.3,30.0,
2026-02-15 15:20:01.001000+07:00,29.4,30.0,
2026-02-15 15:25:02.001000+07:00,29.3,30.3,
2026-02-15 15:30:01.001000+07:00,29.3,30.0,
2026-02-15 15:35:01.001000+07:00,29.6,30.0,
2026-02-15 15:40:01.001000+07:00,29.6,30.4,
2026-02-15 15:45:01.001000+07:00,29.6,30.0,
2026-02-15 15:50:01.001000+07:00,29.6,30.3,
2026-02-15 15:55:01.001000+07:00,29.5,30.3,
2026-02-15 16:00:01.001000+07:00,29.6,30.5,
2026-02-15 16:05:01.001000+07:00,29.6,30.5,
2026-02-15 16:10:01.001000+07:00,29.7,30.2,
2026-02-15 16:15:01.001000+07:00,29.4,30.1,
2026-02-15 16:20:01.001000+07:00,29.5,30.1,
2026-02-15 16:25:01.001000+07:00,29.4,30.5,
2026-02-15 16:30:01.001000+07:00,29.7,30.1,
2026-02-15 16:35:01.001000+07:00,29.6,30.3,
2026-02-15 16:40:01.001000+07:00,29.4,30.5,
2026-02-15 16:45:01.001000+07:00,29.4,30.4,
2026-02-15 16:50:01.001000+07:00,29.4,30.5,
2026-02-15 16:55:01.001000+07:00,29.7,30.2,
2026-02-15 17:00:01.001000+07:00,29.7,30.5,
2026-02-15 17:05:01.001000+07:00,29.4,30.4,
2026-02-15 17:10:01.001000+07:00,29.4,30.2,
2026-02-15 17:15:01.001000+07:00,29.4,30.2,
2026-02-15 17:20:01.001000+07:00,29.3,30.4,
2026-02-15 17:25:01.001000+07:00,29.6,30.2,
2026-02-15 17:30:01.001000+07:00,29.4,30.5,
2026-02-15 17:35:01.001000+07:00,29.6,30.1,
2026-02-15 17:40:01.001000+07:00,29.7,30.4,
2026-02-15 17:45:01.001000+07:00,29.5,30.4,
2026-02-15 17:50:01.001000+07:00,29.6,30.4,
